pore width [A],comulative pore volume [cm^3/g]
17.662393951305845,0.009009009009008973
20.050458654684657,0.01585585585585575
22.597059420343506,0.0212612612612611
25.100668446888925,0.02630630630630615
28.391377702822215,0.03279279279279257
31.651434006120173,0.04360360360360338
35.67147002935375,0.11243243243243217
39.7674671286963,0.19315315315315285
44.17344703140067,0.2418018018018015
50.878030474304445,0.30306306306306274
59.02641679685214,0.38522522522522484
70.23886708726396,0.4947747747747744
86.03934368725461,0.6547747747747743
106.9327993698831,0.8713513513513509
151.96607835160899,1.1351351351351346
213.62972612143693,1.4929729729729724
226.38034095214465,1.8890090090090084
239.02436412630746,2.2861261261261254
266.4704744583994,2.6374774774774767
308.02903842156445,2.9329729729729723
361.2671570857944,3.1863063063063057
442.5354562283111,3.383423423423423
551.9954321281556,3.5610810810810807
770.3771329277976,3.642162162162162
1059.685583379251,3.6929729729729726
1307.5061644098355,3.733333333333333
2368.690188918573,3.7679279279279276
