pore width [nm],dV/dlog(w) [cm^3/g]
3.6043333504408834, 0.0839861530400901
4.010603841760684, 0.03975081970311839
4.471503331943777, 0.027364926368766307
5.145658982020913, 0.04112703007360191
6.075683718859343, 0.06078717822336721
7.4191122453724505, 0.08909779155902908
9.131552867097065, 0.13352972637749844
11.106659699684334, 0.1777650597144702
14.054061658130687, 0.2125635219395546
21.71585971333789, 0.21983777675496774
23.784280500783343, 0.29061431009412253
26.78111791144904, 0.3208909382447609
30.940982478567868, 0.30437641379895813
36.17373614628072, 0.28471626564919295
44.34739422202487, 0.25109741231309446
55.235039763982975, 0.21158051453206633
73.14582713628485, 0.12153703600614169
103.80748556370622, 0.05095710414848459
153.26653854040038, 0.03345957229519353
231.26759564922804, 0.038178007851137175
