pore width [nm],dV/dlog(w) [cm^3/g]
1.7510476282662335, 0.009670793033977665
1.9873417429535156, 0.006721770811512817
2.2510657095360775, 0.005542161922526934
2.514727573046956, 0.005345560441029296
2.809271510757417, 0.005542161922526934
3.1507536087747585, 0.011047003404461186
3.554774891296689, 0.06983084637225923
3.9554592901028465, 0.08103713081762537
4.401307726676837, 0.04938429229650332
5.044884413200568, 0.061966787112353094
5.921455133466826, 0.08300314563260192
6.9778820136621205, 0.11072395452377082
8.571510074732982, 0.16085733230567212
10.654790783413091, 0.21747855897699592
15.121122882002346, 0.26407311009193946
21.248499586081643, 0.35765541528482186
22.54745924056145, 0.39677911010285466
23.925826675206196, 0.39756551602884527
26.57007555444901, 0.35234717528438525
30.636504289480946, 0.2961191515760568
35.959730835802, 0.2542430360170569
43.99792491927317, 0.198211613790226
55.235039763982975, 0.1777650597144702
77.00571981652517, 0.08182353674361598
106.300769499151, 0.05115370562998223
130.57803427026548, 0.040340624147611304
237.76092305241238, 0.03424597822118414
