pore width [A],comulative pore volume [cm^3/g]
20.79739773009485,0.3982099670848396
23.579096979634194,0.7772364226276143
26.513048416076145,1.1574082680171187
29.618457433291127,1.6328017324562198
33.156795770533606,2.5898075179167006
37.30417817900293,8.95154123842861
41.78091466854273,21.629960637650132
46.49034386939708,34.9715892593627
52.551030794266104,53.94636557158694
61.00791077332201,93.15930653097831
71.76155784326356,167.45293244175048
86.50433638966547,358.18969214745556
106.95970540245352,786.542607159316
143.3964938171553,2354.4609914177154
202.33138623421212,6306.165840931202
243.6455607595974,7501.840960779892
258.54005964586855,8917.258479828073
280.9186679416094,11693.710427808226
318.2514916589471,15863.901534356117
370.487996753404,21257.992426798843
444.8202161889136,29246.163166761515
552.0525631552307,40836.16187894664
735.6814392579797,60359.51930410144
1019.7701700509692,79490.3344772491
1317.8035262320082,93948.79839244028
2049.1423001314397,173909.61778664612
