pore width [A],comulative pore volume [cm^3/g]
38.53422738080481,16.986092507019702
43.54202342559282,30.77130401170027
50.194835450107135,46.79101247938897
59.207442118500744,84.26207717060797
70.60335622108019,184.90044631389512
86.32392096507358,469.74628721166255
109.77513309296094,1264.3999191403302
146.89702876721896,3545.1729533527987
201.51840088903117,5753.010229715855
246.3318409919365,5960.714226597212
276.65880980479847,6102.67739410803
316.06775360175584,6235.809748216715
368.733305409849,6377.49318684985
440.16333093228434,6549.020325835191
546.4766015779599,6799.494870828859
730.3969566281351,7247.443321604555
1051.5446954910794,8068.626650807611
1447.3500285836465,12957.963677112275
1964.2129514995615,39383.48200069541
