pore width [A],comulative pore volume [cm^3/g]
40.51448280203705,9.989224249903593
45.128170665151835,16.89911825230739
51.167113705487225,28.8785179576571
59.70198891937797,57.624472657565505
71.79766099315661,131.26949411733682
88.05609555757337,302.5865340388141
107.6753089730712,638.1927632583657
133.8650059756212,1416.2630324806214
190.31015327594585,4580.08315738415
242.07877250558596,5866.108242764675
269.0279529092553,8338.420389884222
307.10444282373453,12324.753714894929
357.0768930667772,17814.017983538768
428.4043149887279,27135.376386003067
529.81800207661,40355.48309014746
683.0370747467396,59963.422384720645
941.461730175424,83095.00280277245
1367.7356576338514,110509.0101977937
2045.8739413342132,168432.43640032178
